"Exp","Trial","Round","Producer","Interpreter","Condition","Item.Nr","Item","Sentence_1_1","Sentence_1_2","Sentence_2_1","Sentence_2_2","Sentence_3_1","Sentence_3_2","Sentence_4_1","Sentence_4_2","Sentence_5_1","Sentence_5_2","Reward_1","Reward_2","Reward_3","Reward_4","Time_Producer","Time_Interpreter"
0,43,9,4,2,"dx11",3,"d-A-AB-AC-ABC-2","Some","the A and the B","Some","the A, the B, and the C","All","the B","","","","","","","","","",""
0,43,9,1,4,"d111",1,"d-A-B-AB-ABC-2","Some","the A and the B but not the C","Some","the A","Some","the A, the B, and the C","Some","the B","","","","","","","",""
0,44,9,3,2,"d011",3,"d-AB-ABC-1","Some","the A, the B, and the C","Some","the A and the B","","","","","","","","","","","",""
0,41,9,3,4,"d101",2,"d-A-B-AC-ABC-3","Some","the A, the B, and the C","Some","the A","Some","the B","","","","","","","","","",""
0,45,9,0,2,"NA","x","NA_x","Some","the B","All","the A","","","","","","","","","","","",""
0,42,9,1,3,"dx01",1,"d-A-ABC-1","Some","the A","None","the A and the B but not the C","Some","the A, the B, and the C","","","","","","","","","",""
0,43,9,0,3,"dx00",2,"D_5_3_2","All","the B","","","","","","","","","","","","","",""
0,44,9,4,3,"d100",3,"d-A-B-BC-3","None","the A and the B","All","the A or the B","","","","","","","","","","","",""
0,44,9,2,1,"d100",2,"d-A-B-AC-3","Some","the B","Some","the A","","","","","","","","","","","",""
0,44,9,0,4,"dx10",4,"D_5_4_4","All","the B","Some","the A and the B","","","","","","","","","","","",""
0,45,9,0,3,"NA","x","NA_x","Some did not","the A and the B","","","","","","","","","","","","","",""
0,45,9,0,1,"NA","x","NA_x","None","the A, the B, and the C","","","","","","","","","","","","","",""
0,50,10,0,3,"NA","x","NA_x","None","the A and the B","","","","","","","","","","","","","",""
0,49,10,2,1,"d101",1,"d-A-B-ABC-3","Some","the A","Some","the A, the B, and the C","Some","the B","","","","","","","","","",""
0,47,10,0,2,"dx11",3,"D_5_2_3","Some","the B","Some","the A and the B","Some","the A, the B, and the C","","","","","","","","","",""
0,50,10,0,4,"NA","x","NA_x","Some","the A and the B","All","the A or the B","","","","","","","","","","","",""
0,46,10,1,2,"d110",2,"d-A-B-AB-AC-2","Some","the B","Some","the A but not the B","Some","the A and the B","None","the C","","","","","","","",""
0,49,10,3,2,"d111",2,"d-B-AB-AC-ABC-2","Some","the A and the B","Some","the A, the B, and the C","Some","the B","Some","the A","","","","","","","",""
0,48,10,3,1,"dx01",1,"d-A-ABC-2","Some","the A, the B, and the C","Some","the A","","","","","","","","","","","",""
0,46,10,3,4,"d110",3,"d-A-B-AB-BC-1","Some","the A","Some","the B","Some","the A and the B","","","","","","","","","",""
0,50,10,0,1,"NA","x","NA_x","Some did not","the A","","","","","","","","","","","","","",""
0,46,10,0,1,"d100",1,"D_5_1_1","Some","the A","None","the A, the B, and the C","Some","the B","None","the A and the B","","","","","","","",""
0,50,10,0,2,"NA","x","NA_x","Not all","the A, the B, and the C","","","","","","","","","","","","","",""
0,49,10,0,4,"d0xx",1,"D_5_4_1","All","the A and the B","","","","","","","","","","","","","",""
0,46,10,2,3,"dx10",3,"d-A-AB-AC-2","Some","the A","Some","the A and the B","","","","","","","","","","","",""
0,47,10,2,4,"dx00",1,"d-A-1","All","the B","","","","","","","","","","","","","",""
0,48,10,0,3,"d011",4,"D_5_3_4","All","the A and the B","Some","the A, the B, and the C","","","","","","","","","","","",""
0,49,10,4,3,"d101",1,"d-A-B-ABC-1","None","the A and the B","All","the A or the B","Some","the A, the B, and the C","","","","","","","","","",""
0,47,10,4,1,"d111",2,"d-B-AB-AC-ABC-3","Some","the A and the B but not the C","Some","the A, the B, and the C","All","the A or the B","","","","","","","","","",""
0,48,10,1,4,"dx10",2,"d-B-AB-3","Some","the B but not the A","None","the C","Some","the A and the B","","","","","","","","","",""
0,48,10,4,2,"dx01",2,"d-B-ABC-3","All","the B","Some","the A","None","the A but not the C","","","","","","","","","",""
0,47,10,1,3,"dx00",2,"d-B-BC-1","All","the A but not the B","","","","","","","","","","","","","",""
1,4,1,3,2,"dx10",3,"d-A-AB-AC-1","","","","","","","","","","","","","","","",""
1,2,1,2,4,"dx01",3,"d-A-AC-ABC-3","","","","","","","","","","","","","","","",""
1,4,1,0,4,"d101",1,"D_5_4_1","Some","the A","Some","the A, the B, and the C","Some","the B","","","","","","","","","",""
1,1,1,0,1,"d110",4,"D_5_1_4","Some","the A and the B","Some","the B","Some","the A","","","","","","","","","",""
1,1,1,3,4,"dx00",1,"d-A-2","","","","","","","","","","","","","","","",""
1,5,1,0,3,"NA","x","NA_x","None","the A, the B, and the C","","","","","","","","","","","","","",""
1,1,1,1,2,"dx00",1,"d-A-2","","","","","","","","","","","","","","","",""
1,1,1,2,3,"d100",1,"d-A-B-2","","","","","","","","","","","","","","","",""
1,4,1,4,3,"d011",1,"d-AB-ABC-1","","","","","","","","","","","","","","","",""
1,2,1,4,1,"dx10",2,"d-B-AB-1","","","","","","","","","","","","","","","",""
1,5,1,0,2,"NA","x","NA_x","Not all","the A, the B, and the C","","","","","","","","","","","","","",""
1,5,1,0,4,"NA","x","NA_x","Some","the A, the B, and the C","Some did not","the B","","","","","","","","","","","",""
1,3,1,0,3,"d0xx",2,"D_5_3_2","All","the A and the B","","","","","","","","","","","","","",""
1,5,1,0,1,"NA","x","NA_x","All","the A or the B","Some","the A and the B","","","","","","","","","","","",""
1,2,1,1,3,"dx01",2,"d-B-ABC-3","","","","","","","","","","","","","","","",""
1,3,1,4,2,"d111",2,"d-B-AB-AC-ABC-2","","","","","","","","","","","","","","","",""
1,3,1,1,4,"d100",3,"d-A-B-BC-3","","","","","","","","","","","","","","","",""
1,3,1,3,1,"d111",2,"d-B-AB-AC-ABC-1","","","","","","","","","","","","","","","",""
1,4,1,2,1,"d011",1,"d-AB-ABC-3","","","","","","","","","","","","","","","",""
1,2,1,0,2,"dx11",4,"D_5_2_4","Some","the A, the B, and the C","Some","the B","Some","the A and the B","","","","","","","","","",""
1,8,2,3,1,"dx01",2,"d-B-ABC-3","","","","","","","","","","","","","","","",""
1,6,2,3,4,"dx11",3,"d-A-AB-AC-ABC-3","","","","","","","","","","","","","","","",""
1,8,2,0,3,"dx10",1,"D_5_3_1","Some","the A","Some","the A and the B","","","","","","","","","","","",""
1,8,2,4,2,"dx01",3,"d-A-AC-ABC-3","","","","","","","","","","","","","","","",""
1,10,2,0,3,"NA","x","NA_x","None","the A and the B","","","","","","","","","","","","","",""
1,9,2,3,2,"d100",2,"d-A-B-AC-3","","","","","","","","","","","","","","","",""
1,6,2,1,2,"dx11",1,"d-A-AB-ABC-3","","","","","","","","","","","","","","","",""
1,6,2,2,3,"d101",1,"d-A-B-ABC-1","","","","","","","","","","","","","","","",""
1,7,2,4,1,"d100",2,"d-A-B-AC-3","","","","","","","","","","","","","","","",""
1,7,2,1,3,"d0xx",2,"d-ABC-3","","","","","","","","","","","","","","","",""
1,7,2,2,4,"d0xx",1,"d-AB-3","","","","","","","","","","","","","","","",""
1,6,2,0,1,"d011",4,"D_5_1_4","Some","the A and the B","Some","the A, the B, and the C","None","the A but not the B","None","the B but not the A","","","","","","","",""
1,7,2,0,2,"d111",1,"D_5_2_1","Some","the A, the B, and the C","Some","the A","Some","the A and the B","Some","the B but not the A","","","","","","","",""
1,9,2,2,1,"dx00",1,"d-A-2","","","","","","","","","","","","","","","",""
1,9,2,0,4,"d110",2,"D_5_4_2","Some","the B","Some","the A","Some","the A and the B but not the C","","","","","","","","","",""
1,9,2,4,3,"dx00",2,"d-B-BC-3","","","","","","","","","","","","","","","",""
1,8,2,1,4,"d101",2,"d-A-B-AC-ABC-3","","","","","","","","","","","","","","","",""
1,10,2,0,1,"NA","x","NA_x","Some did not","the A and the B","Some","the A, the B, and the C","","","","","","","","","","","",""
1,10,2,0,4,"NA","x","NA_x","Some","the A and the B","","","","","","","","","","","","","",""
1,10,2,0,2,"NA","x","NA_x","All","the A","Some","the B","","","","","","","","","","","",""
1,15,3,0,1,"NA","x","NA_x","None","the A, the B, and the C","","","","","","","","","","","","","",""
1,14,3,3,2,"d101",1,"d-A-B-ABC-3","","","","","","","","","","","","","","","",""
1,11,3,3,4,"d111",1,"d-A-B-AB-ABC-3","","","","","","","","","","","","","","","",""
1,12,3,0,2,"dx01",4,"D_5_2_4","Some","the A, the B, and the C","Some","the B","","","","","","","","","","","",""
1,12,3,2,4,"dx10",3,"d-A-AB-AC-1","","","","","","","","","","","","","","","",""
1,14,3,0,4,"d011",2,"D_5_4_2","All","the A and the B","Some","the C","Some did not","the C","","","","","","","","","",""
1,13,3,3,1,"d0xx",3,"d-AB-1","","","","","","","","","","","","","","","",""
1,14,3,4,3,"dx11",3,"d-A-AB-AC-ABC-2","","","","","","","","","","","","","","","",""
1,13,3,0,3,"d100",3,"D_5_3_3","Some","the B","Some","the A","","","","","","","","","","","",""
1,15,3,0,3,"NA","x","NA_x","All","the A or the B","","","","","","","","","","","","","",""
1,12,3,4,1,"d101",3,"d-A-B-BC-ABC-3","","","","","","","","","","","","","","","",""
1,13,3,4,2,"d0xx",2,"d-ABC-1","","","","","","","","","","","","","","","",""
1,11,3,1,2,"d111",2,"d-B-AB-AC-ABC-1","","","","","","","","","","","","","","","",""
1,14,3,2,1,"dx11",1,"d-A-AB-ABC-2","","","","","","","","","","","","","","","",""
1,11,3,2,3,"d110",1,"d-A-B-AB-3","","","","","","","","","","","","","","","",""
1,13,3,1,4,"d110",3,"d-A-B-AB-BC-2","","","","","","","","","","","","","","","",""
1,15,3,0,4,"NA","x","NA_x","Not all","the A, the B, and the C","","","","","","","","","","","","","",""
1,12,3,1,3,"dx10",3,"d-A-AB-AC-1","","","","","","","","","","","","","","","",""
1,15,3,0,2,"NA","x","NA_x","Some","the B","All","the A","Some","the C","","","","","","","","","",""
1,11,3,0,1,"dx00",2,"D_5_1_2","All","the A but not the B","","","","","","","","","","","","","",""
1,19,4,4,3,"d111",1,"d-A-B-AB-ABC-2","","","","","","","","","","","","","","","",""
1,19,4,3,2,"d110",3,"d-A-B-AB-BC-2","","","","","","","","","","","","","","","",""
1,16,4,1,2,"dx01",1,"d-A-ABC-1","","","","","","","","","","","","","","","",""
1,17,4,4,1,"d110",1,"d-A-B-AB-3","","","","","","","","","","","","","","","",""
1,18,4,4,2,"dx10",1,"d-A-AB-1","","","","","","","","","","","","","","","",""
1,18,4,1,4,"d011",2,"d-AB-ABC-2","","","","","","","","","","","","","","","",""
1,17,4,0,2,"d0xx",4,"D_5_2_4","None","the C","All","the A and the B","","","","","","","","","","","",""
1,16,4,0,1,"dx11",2,"D_5_1_2","All","the B","Some","the A and the B","Some","the A, the B, and the C","","","","","","","","","",""
1,19,4,0,4,"dx00",1,"D_5_4_1","All","the B but not the A","","","","","","","","","","","","","",""
1,18,4,0,3,"d101",4,"D_5_3_4","Some","the A","Some","the A, the B, and the C","Some","the B","","","","","","","","","",""
1,20,4,0,3,"NA","x","NA_x","All","the A and the B","Some","the C","","","","","","","","","","","",""
1,18,4,3,1,"dx10",1,"d-A-AB-2","","","","","","","","","","","","","","","",""
1,20,4,0,1,"NA","x","NA_x","Some","the A and the B","","","","","","","","","","","","","",""
1,20,4,0,2,"NA","x","NA_x","Some did not","the A","","","","","","","","","","","","","",""
1,17,4,2,4,"d100",2,"d-A-B-AC-2","","","","","","","","","","","","","","","",""
1,17,4,1,3,"d100",2,"d-A-B-AC-1","","","","","","","","","","","","","","","",""
1,16,4,3,4,"dx01",3,"d-A-AC-ABC-2","","","","","","","","","","","","","","","",""
1,19,4,2,1,"d111",3,"d-A-AB-BC-ABC-2","","","","","","","","","","","","","","","",""
1,16,4,2,3,"d011",3,"d-AB-ABC-1","","","","","","","","","","","","","","","",""
1,20,4,0,4,"NA","x","NA_x","All","the A and the B","Some","the C","","","","","","","","","","","",""
1,25,5,0,2,"NA","x","NA_x","None","the A and the B","All","the A or the B","","","","","","","","","","","",""
1,25,5,0,4,"NA","x","NA_x","All","the A or the B","None","the A and the B","","","","","","","","","","","",""
1,24,5,4,3,"dx01",2,"d-B-ABC-2","","","","","","","","","","","","","","","",""
1,21,5,1,2,"d0xx",3,"d-AB-3","","","","","","","","","","","","","","","",""
1,23,5,3,1,"d100",1,"d-A-B-3","","","","","","","","","","","","","","","",""
1,21,5,0,1,"d111",4,"D_5_1_4","Some","the A and the B but not the C","Some","the A","Some","the B","Some","the A, the B, and the C","","","","","","","",""
1,25,5,0,1,"NA","x","NA_x","Some did not","the B","","","","","","","","","","","","","",""
1,24,5,0,4,"dx11",1,"D_5_4_1","Some","the A","Some","the A and the B","Some","the A, the B, and the C","","","","","","","","","",""
1,24,5,3,2,"d011",2,"d-AB-ABC-3","","","","","","","","","","","","","","","",""
1,25,5,0,3,"NA","x","NA_x","None","the A and the B","Some","the A, the B, and the C","All","the A or the B","","","","","","","","","",""
1,24,5,2,1,"dx01",1,"d-A-ABC-3","","","","","","","","","","","","","","","",""
1,21,5,3,4,"d0xx",2,"d-ABC-2","","","","","","","","","","","","","","","",""
1,23,5,1,4,"dx00",3,"d-A-AC-2","","","","","","","","","","","","","","","",""
1,23,5,4,2,"d100",3,"d-A-B-BC-3","","","","","","","","","","","","","","","",""
1,22,5,4,1,"d011",3,"d-AB-ABC-3","","","","","","","","","","","","","","","",""
1,22,5,2,4,"d101",3,"d-A-B-BC-ABC-2","","","","","","","","","","","","","","","",""
1,23,5,0,3,"d110",1,"D_5_3_1","Some","the A and the B but not the C","Some","the B but not the A","Some","the A but not the B","","","","","","","","","",""
1,22,5,1,3,"d101",1,"d-A-B-ABC-1","","","","","","","","","","","","","","","",""
1,21,5,2,3,"dx00",3,"d-A-AC-1","","","","","","","","","","","","","","","",""
1,22,5,0,2,"dx10",3,"D_5_2_3","Some","the A and the B","All","the A","","","","","","","","","","","",""
1,29,6,2,1,"d0xx",2,"d-ABC-2","","","","","","","","","","","","","","","",""
1,30,6,0,3,"NA","x","NA_x","All","the B","Some","the A","","","","","","","","","","","",""
1,28,6,3,1,"d101",2,"d-A-B-AC-ABC-2","","","","","","","","","","","","","","","",""
1,29,6,4,3,"d0xx",3,"d-AB-1","","","","","","","","","","","","","","","",""
1,30,6,0,1,"NA","x","NA_x","Some","the A","Some","the C","All","the B","","","","","","","","","",""
1,27,6,4,1,"dx00",3,"d-A-AC-2","","","","","","","","","","","","","","","",""
1,26,6,2,3,"dx11",3,"d-A-AB-AC-ABC-1","","","","","","","","","","","","","","","",""
1,29,6,0,4,"d111",3,"D_5_4_3","Some","the A and the B","Some","the A, the B, and the C","Some","the B","Some","the A","","","","","","","",""
1,27,6,1,3,"d110",2,"d-A-B-AB-AC-3","","","","","","","","","","","","","","","",""
1,30,6,0,4,"NA","x","NA_x","None","the B","","","","","","","","","","","","","",""
1,30,6,0,2,"NA","x","NA_x","Some did not","the A and the B","","","","","","","","","","","","","",""
1,27,6,2,4,"d110",2,"d-A-B-AB-AC-3","","","","","","","","","","","","","","","",""
1,29,6,3,2,"dx00",3,"d-A-AC-1","","","","","","","","","","","","","","","",""
1,28,6,0,3,"d011",3,"D_5_3_3","Some","the A, the B, and the C","All","the A and the B","","","","","","","","","","","",""
1,28,6,1,4,"dx11",3,"d-A-AB-AC-ABC-1","","","","","","","","","","","","","","","",""
1,26,6,3,4,"dx10",2,"d-B-AB-3","","","","","","","","","","","","","","","",""
1,26,6,1,2,"dx10",1,"d-A-AB-3","","","","","","","","","","","","","","","",""
1,28,6,4,2,"d101",1,"d-A-B-ABC-3","","","","","","","","","","","","","","","",""
1,27,6,0,2,"d100",4,"D_5_2_4","Some","the A","Some","the B","None","the A and the B","","","","","","","","","",""
1,26,6,0,1,"dx01",3,"D_5_1_3","Some","the A","Some","the A, the B, and the C","","","","","","","","","","","",""
1,31,7,3,4,"d100",3,"d-A-B-BC-1","","","","","","","","","","","","","","","",""
1,35,7,0,2,"NA","x","NA_x","All","the A or the B","","","","","","","","","","","","","",""
1,31,7,1,2,"d100",1,"d-A-B-1","","","","","","","","","","","","","","","",""
1,35,7,0,4,"NA","x","NA_x","All","the A or the B","Some","the A, the B, and the C","None","the A and the B","","","","","","","","","",""
1,31,7,0,1,"d0xx",3,"D_5_1_3","All","the A and the B","None","the C","","","","","","","","","","","",""
1,31,7,2,3,"d111",2,"d-B-AB-AC-ABC-3","","","","","","","","","","","","","","","",""
1,35,7,0,1,"NA","x","NA_x","Some","the A, the B, and the C","All","the A or the B","","","","","","","","","","","",""
1,32,7,2,4,"d011",2,"d-AB-ABC-2","","","","","","","","","","","","","","","",""
1,34,7,4,3,"dx10",3,"d-A-AB-AC-2","","","","","","","","","","","","","","","",""
1,34,7,0,4,"dx01",2,"D_5_4_2","All","the B","Some","the A, the B, and the C","","","","","","","","","","","",""
1,33,7,3,1,"d110",2,"d-A-B-AB-AC-1","","","","","","","","","","","","","","","",""
1,34,7,2,1,"dx10",2,"d-B-AB-3","","","","","","","","","","","","","","","",""
1,33,7,4,2,"d110",2,"d-A-B-AB-AC-3","","","","","","","","","","","","","","","",""
1,35,7,0,3,"NA","x","NA_x","All","the A or the B","Some","the A and the B","","","","","","","","","","","",""
1,33,7,0,3,"dx00",4,"D_5_3_4","All","the B","","","","","","","","","","","","","",""
1,33,7,1,4,"d111",1,"d-A-B-AB-ABC-1","","","","","","","","","","","","","","","",""
1,34,7,3,2,"dx11",2,"d-B-AB-ABC-1","","","","","","","","","","","","","","","",""
1,32,7,4,1,"dx11",2,"d-B-AB-ABC-1","","","","","","","","","","","","","","","",""
1,32,7,1,3,"d011",1,"d-AB-ABC-3","","","","","","","","","","","","","","","",""
1,32,7,0,2,"d101",3,"D_5_2_3","Some","the B","Some","the A, the B, and the C","Some","the A","","","","","","","","","",""
1,38,8,0,3,"dx11",3,"D_5_3_3","Some","the A and the B","Some","the A, the B, and the C","All","the A","","","","","","","","","",""
1,39,8,4,3,"d100",1,"d-A-B-2","","","","","","","","","","","","","","","",""
1,37,8,1,3,"dx00",2,"d-B-BC-2","","","","","","","","","","","","","","","",""
1,40,8,0,4,"NA","x","NA_x","Some did not","the A and the B","None","the C","","","","","","","","","","","",""
1,39,8,0,4,"d0xx",1,"D_5_4_1","All","the A and the B","","","","","","","","","","","","","",""
1,36,8,0,1,"dx10",4,"D_5_1_4","Some","the B","Some","the A and the B","","","","","","","","","","","",""
1,37,8,4,1,"d111",3,"d-A-AB-BC-ABC-2","","","","","","","","","","","","","","","",""
1,36,8,1,2,"d101",3,"d-A-B-BC-ABC-1","","","","","","","","","","","","","","","",""
1,39,8,2,1,"d100",3,"d-A-B-BC-3","","","","","","","","","","","","","","","",""
1,40,8,0,2,"NA","x","NA_x","None","the B but not the A","","","","","","","","","","","","","",""
1,37,8,0,2,"d110",3,"D_5_2_3","Some","the A but not the B","Some","the A and the B","Some","the B but not the A","","","","","","","","","",""
1,38,8,3,1,"d011",1,"d-AB-ABC-1","","","","","","","","","","","","","","","",""
1,36,8,3,4,"d101",3,"d-A-B-BC-ABC-2","","","","","","","","","","","","","","","",""
1,37,8,2,4,"dx00",2,"d-B-BC-3","","","","","","","","","","","","","","","",""
1,39,8,3,2,"d111",3,"d-A-AB-BC-ABC-1","","","","","","","","","","","","","","","",""
1,40,8,0,1,"NA","x","NA_x","None","the A","","","","","","","","","","","","","",""
1,36,8,2,3,"dx01",2,"d-B-ABC-1","","","","","","","","","","","","","","","",""
1,38,8,4,2,"d011",2,"d-AB-ABC-3","","","","","","","","","","","","","","","",""
1,38,8,1,4,"dx01",3,"d-A-AC-ABC-3","","","","","","","","","","","","","","","",""
1,40,8,0,3,"NA","x","NA_x","Some did not","the A and the B","","","","","","","","","","","","","",""
1,42,9,2,4,"dx11",2,"d-B-AB-ABC-3","","","","","","","","","","","","","","","",""
1,45,9,0,3,"NA","x","NA_x","Some did not","the A","None","the A, the B, and the C","","","","","","","","","","","",""
1,43,9,0,3,"d111",2,"D_5_3_2","Some","the A, the B, and the C","Some","the A and the B but not the C","Some","the A but not the B","Some","the B but not the A","","","","","","","",""
1,42,9,0,2,"d011",1,"D_5_2_1","Some","the A and the B","Some","the A, the B, and the C","","","","","","","","","","","",""
1,43,9,4,2,"dx00",1,"d-A-3","","","","","","","","","","","","","","","",""
1,44,9,4,3,"d101",2,"d-A-B-AC-ABC-3","","","","","","","","","","","","","","","",""
1,45,9,0,2,"NA","x","NA_x","All","the A or the B","Some","the A, the B, and the C","","","","","","","","","","","",""
1,45,9,0,4,"NA","x","NA_x","Some","the A, the B, and the C","Some","the B","None","the A","","","","","","","","","",""
1,44,9,2,1,"d101",2,"d-A-B-AC-ABC-2","","","","","","","","","","","","","","","",""
1,44,9,3,2,"dx01",1,"d-A-ABC-2","","","","","","","","","","","","","","","",""
1,41,9,0,1,"d100",2,"D_5_1_2","Some","the B","None","the A, the B, and the C","Some","the A","None","the A and the B","","","","","","","",""
1,44,9,0,4,"dx10",2,"D_5_4_2","Some","the A and the B","All","the B","","","","","","","","","","","",""
1,42,9,1,3,"dx11",2,"d-B-AB-ABC-2","","","","","","","","","","","","","","","",""
1,43,9,1,4,"d0xx",1,"d-AB-3","","","","","","","","","","","","","","","",""
1,45,9,0,1,"NA","x","NA_x","All","the A or the B","","","","","","","","","","","","","",""
1,41,9,3,4,"d110",1,"d-A-B-AB-3","","","","","","","","","","","","","","","",""
1,41,9,1,2,"d110",1,"d-A-B-AB-2","","","","","","","","","","","","","","","",""
1,43,9,3,1,"dx00",2,"d-B-BC-3","","","","","","","","","","","","","","","",""
